,precision,recall,f1-score,support
Active,0.7058823529411765,0.6666666666666666,0.6857142857142857,18.0
Highly Active,0.7407407407407407,0.8695652173913043,0.8,23.0
Least Loyal,1.0,0.967741935483871,0.9836065573770492,31.0
Most Loyal,0.9459459459459459,0.8974358974358975,0.9210526315789473,39.0
Potential,0.8260869565217391,0.8260869565217391,0.8260869565217391,23.0
accuracy,0.8656716417910447,0.8656716417910447,0.8656716417910447,0.8656716417910447
macro avg,0.8437311992299203,0.8454993346998956,0.8432920862384042,134.0
weighted avg,0.870409039416941,0.8656716417910447,0.8668336795009299,134.0
