,precision,recall,f1-score,support
Active,0.7222222222222222,0.7222222222222222,0.7222222222222222,18.0
Highly Active,0.7777777777777778,0.9130434782608695,0.84,23.0
Least Loyal,1.0,0.967741935483871,0.9836065573770492,31.0
Most Loyal,0.972972972972973,0.9230769230769231,0.9473684210526315,39.0
Potential,0.8636363636363636,0.8260869565217391,0.8444444444444444,23.0
accuracy,0.8880597014925373,0.8880597014925373,0.8880597014925373,0.8880597014925373
macro avg,0.8673218673218672,0.870434303113125,0.8675283290192695,134.0
weighted avg,0.8932721731229194,0.8880597014925373,0.8894133874773387,134.0
