,precision,recall,f1-score,support
Active,0.5555555555555556,0.5555555555555556,0.5555555555555556,18.0
Highly Active,0.7142857142857143,0.8695652173913043,0.7843137254901961,23.0
Least Loyal,1.0,0.8709677419354839,0.9310344827586207,31.0
Most Loyal,0.9444444444444444,0.8717948717948718,0.9066666666666666,39.0
Potential,0.64,0.6956521739130435,0.6666666666666666,23.0
accuracy,0.7985074626865671,0.7985074626865671,0.7985074626865671,0.7985074626865671
macro avg,0.7708571428571429,0.7727071121180519,0.7688474194275411,134.0
weighted avg,0.8132977967306325,0.7985074626865671,0.8029449103367543,134.0
